name,start_time,end_time,label,avg_val,avg_act,avg_dom
Ses01F_impro04_F024,153.18,155.2925,fru,2.5,2.5,3.5
Ses01F_impro04_F025,157.1625,159.7,fru,2.5,2.5,3.0
Ses01F_impro04_F026,161.0787,163.78,fru,2.5,2.0,3.5
Ses01F_impro04_F027,164.3925,167.565,fru,2.5,2.0,3.0
Ses01F_impro04_F028,170.83,172.84,ang,2.0,3.5,3.5
Ses01F_impro04_F029,175.27,178.43,ang,1.5,4.0,4.0
Ses01F_impro04_F030,180.3025,183.4875,ang,1.5,3.5,4.0
Ses01F_impro04_F031,184.47,188.87,ang,1.5,3.0,3.5
Ses01F_impro04_F032,189.12,192.02,ang,2.0,3.5,3.5
Ses01F_impro04_F033,193.5875,199.4325,ang,1.5,3.5,4.5
Ses01F_impro04_M000,2.7418,6.6575,neu,3.0,2.5,2.5
Ses01F_impro04_M001,10.46,12.13,neu,3.0,2.5,2.0
Ses01F_impro04_M002,15.64,18.9,neu,3.0,2.5,3.0
Ses01F_impro04_M003,26.91,28.71,neu,3.0,2.5,2.5
Ses01F_impro04_M004,30.88,35.5225,neu,3.0,3.0,3.0
Ses01F_impro04_M005,37.19,40.53,neu,3.0,3.0,3.0
Ses01F_impro04_M006,40.54,43.576,neu,3.0,3.5,2.5
Ses01F_impro04_M007,49.39,50.58,neu,3.5,3.0,2.5
Ses01F_impro04_M008,55.21,56.33,neu,3.0,3.0,2.5
Ses01F_impro04_M009,56.35,59.0245,neu,3.0,3.0,3.0
Ses01F_impro04_M010,59.8,61.55,neu,3.0,2.5,2.0
Ses01F_impro04_M011,65.97,69.77,neu,3.0,3.0,2.5
Ses01F_impro04_M012,70.38,72.7264,neu,3.0,3.0,2.5
Ses01F_impro04_M013,73.7473,77.15,neu,3.0,2.0,3.0
Ses01F_impro04_M014,80.1435,87.81,neu,3.5,3.5,3.5
Ses01F_impro04_M015,92.37,99.27,neu,2.5,3.5,3.0
Ses01F_impro04_M016,100.485,103.47,neu,3.0,2.5,2.5
Ses01F_impro04_M017,104.97,107.78,neu,3.0,3.5,3.0
Ses01F_impro04_M018,111.66,117.725,neu,3.0,3.5,3.0
Ses01F_impro04_M019,118.46,119.77,neu,3.0,2.5,2.5
Ses01F_impro04_M020,121.5,123.42,neu,3.0,2.5,2.5
Ses01F_impro04_M021,129.43,139.16,neu,3.5,3.5,3.0
Ses01F_impro04_M022,139.5219,141.8225,neu,3.0,2.5,2.5
Ses01F_impro04_M023,144.9125,149.51,neu,2.5,2.5,2.0
Ses01F_impro04_M024,151.84,154.03,neu,3.0,2.5,3.0
Ses01F_impro04_M025,154.6,157.8,neu,3.0,3.5,3.5
Ses01F_impro04_M026,158.95,161.35,neu,3.5,3.0,3.0
Ses01F_impro04_M027,162.12,164.7825,neu,3.5,3.5,3.5
Ses01F_impro04_M028,165.47,166.71,neu,3.0,2.5,2.0
Ses01F_impro04_M029,167.05,171.43,fru,2.5,3.5,3.5
Ses01F_impro04_M030,171.75,175.26,fru,2.5,2.5,3.0
Ses01F_impro04_M031,178.0033,180.865,neu,3.0,2.5,2.5
Ses01F_impro04_M032,182.82,185.54,neu,2.5,2.0,1.5
Ses01F_impro04_M033,186.12,187.4625,xxx,2.5,3.5,2.0
Ses01F_impro04_M034,188.01,190.71,fru,2.5,2.0,2.0
Ses01F_impro04_M035,191.28,195.13,fru,2.0,3.5,3.0
Ses01F_impro04_M036,200.215,202.0825,xxx,2.5,3.0,3.5
Ses01F_impro05_F000,4.24,5.23,fru,4.0,2.0,1.5
Ses01F_impro05_F001,5.26,7.16,fru,2.0,2.5,2.5
Ses01F_impro05_F002,7.35,8.85,fru,2.5,2.5,3.5
Ses01F_impro05_F003,9.2,13.02,fru,2.0,3.0,3.5
Ses01F_impro05_F004,13.04,22.74,fru,2.0,3.5,3.5
Ses01F_impro05_F005,25.35,26.76,fru,2.5,3.0,3.0
Ses01F_impro05_F006,28.24,29.91,xxx,2.5,2.5,2.5
Ses01F_impro05_F007,32.19,33.5,fru,2.5,3.0,3.5
Ses01F_impro05_F008,33.78,35.9,ang,2.5,2.5,3.5
Ses01F_impro05_F009,36.71,44.03,ang,2.5,2.5,3.5
Ses01F_impro05_F010,69.55,73.76,xxx,2.0,4.0,3.5
Ses01F_impro05_F011,73.87,75.5375,ang,2.0,4.5,3.5
Ses01F_impro05_F012,75.61,80.73,ang,2.5,3.5,3.0
Ses01F_impro05_F013,82.75,86.06,xxx,2.0,2.5,3.0
Ses01F_impro05_F014,99.52,102.9,ang,1.5,4.0,4.0
Ses01F_impro05_F015,103.005,118.5,ang,1.5,4.5,4.5
Ses01F_impro05_F016,118.53,122.44,ang,1.5,4.5,4.0
Ses01F_impro05_F017,127.485,136.85,ang,1.5,5.0,4.5
Ses01F_impro05_F018,137.715,140.11,ang,1.5,4.0,4.0
Ses01F_impro05_F019,140.225,145.6,ang,1.5,4.0,4.5
Ses01F_impro05_F020,149.365,153.8,ang,1.5,4.5,4.5
Ses01F_impro05_F021,155.6,160.36,ang,1.5,4.5,4.5
Ses01F_impro05_F022,160.41,163.7975,ang,1.5,4.5,4.0
Ses01F_impro05_F023,163.88,165.8,ang,2.0,3.0,4.0
Ses01F_impro05_F024,166.33,167.71,ang,2.0,3.0,4.0
Ses01F_impro05_F025,171.09,174.2,ang,1.5,4.5,4.5
Ses01F_impro05_F026,177.6025,179.09,ang,2.0,3.5,3.5
Ses01F_impro05_F027,179.22,183.845,xxx,2.0,2.5,4.0
Ses01F_impro05_F028,188.78,190.8975,ang,2.0,3.0,4.0
Ses01F_impro05_F029,195.38,199.33,ang,1.5,3.0,3.5
Ses01F_impro05_F030,202.86,206.17,ang,2.0,3.0,3.5
Ses01F_impro05_M000,3.61,5.19,neu,4.0,2.5,2.0
Ses01F_impro05_M001,5.21,6.44,hap,4.0,2.5,2.0
Ses01F_impro05_M002,6.6,7.71,hap,4.0,2.5,2.0
Ses01F_impro05_M003,8.32,9.8,neu,4.0,2.5,2.0
Ses01F_impro05_M004,12.26,13.78,neu,3.5,1.5,2.0
Ses01F_impro05_M005,21.84,25.9,neu,3.5,2.5,2.0
Ses01F_impro05_M006,25.99,27.7272,neu,3.5,2.5,2.0
Ses01F_impro05_M007,28.29,34.1425,neu,3.5,2.5,2.0
Ses01F_impro05_M008,34.7,36.52,neu,3.0,2.5,2.0
Ses01F_impro05_M009,36.91,42.76,neu,2.5,2.5,2.0
Ses01F_impro05_M010,43.86,49.97,neu,2.5,2.5,2.0
Ses01F_impro05_M011,49.97,70.26,neu,2.5,2.5,2.0
Ses01F_impro05_M012,70.38,73.14,neu,2.5,2.0,1.5
Ses01F_impro05_M013,73.55,74.99,neu,2.5,2.0,1.5
Ses01F_impro05_M014,75.03,76.48,neu,2.5,2.5,1.5
Ses01F_impro05_M015,80.22,83.2425,neu,2.5,2.0,1.5
Ses01F_impro05_M016,85.72,93.9575,neu,2.5,2.5,2.0
Ses01F_impro05_M017,94.005,100.4,neu,2.5,2.5,2.5
Ses01F_impro05_M018,100.55,103.68,xxx,3.0,3.5,2.5
Ses01F_impro05_M019,111.28,112.81,neu,2.5,2.0,2.0
Ses01F_impro05_M020,118.04,119.37,neu,2.5,2.0,2.0
Ses01F_impro05_M021,121.19,129.23,xxx,2.5,2.5,1.5
Ses01F_impro05_M022,131.02,133.25,neu,2.5,2.0,2.0
Ses01F_impro05_M023,136.19,143.5,neu,2.5,3.5,2.5
Ses01F_impro05_M024,144.85,151.16,neu,2.5,3.0,2.5
Ses01F_impro05_M025,151.335,152.71,neu,2.5,2.5,2.0
Ses01F_impro05_M026,152.8325,158.58,neu,2.5,2.5,2.5
Ses01F_impro05_M027,159.66,161.37,neu,2.5,2.5,2.0
Ses01F_impro05_M028,163.25,166.99,neu,2.5,2.5,2.0
Ses01F_impro05_M029,167.15,173.63,neu,2.5,2.5,2.5
Ses01F_impro05_M030,173.7325,178.2625,neu,3.0,2.5,2.0
Ses01F_impro05_M031,178.59,180.87,neu,3.0,2.5,2.5
Ses01F_impro05_M032,183.14,189.3875,sur,3.0,2.5,2.0
Ses01F_impro05_M033,190.23,196.9,sur,2.5,3.0,2.0
Ses01F_impro05_M034,198.66,205.17,neu,2.5,2.5,2.5
Ses01F_impro05_M035,205.63,211.94,neu,2.5,2.0,1.5
Ses01F_impro06_F000,14.7939,18.17,xxx,3.5,2.0,3.0
Ses01F_impro06_F001,24.02,25.69,xxx,2.0,2.0,2.0
Ses01F_impro06_F002,26.07,27.65,sad,2.0,1.5,2.5
Ses01F_impro06_F003,34.45,35.78,neu,3.0,2.0,2.5
Ses01F_impro06_F004,36.07,38.04,neu,3.5,2.0,3.0
Ses01F_impro06_F005,39.6025,46.29,sad,2.0,2.0,4.0
Ses01F_impro06_F006,47.34,59.38,sad,3.5,3.0,4.0
Ses01F_impro06_F007,59.4525,67.4525,sad,3.5,3.0,4.0
Ses01F_impro06_F008,70.22,80.13,sad,2.5,3.5,3.5
Ses01F_impro06_F009,80.16,87.74,neu,2.5,3.0,3.5
Ses01F_impro06_F010,87.83,93.67,sad,2.0,2.5,3.5
Ses01F_impro06_F011,101.83,116.91,sad,2.0,3.0,4.0
Ses01F_impro06_F012,117.07,126.04,sad,2.0,3.5,4.5
Ses01F_impro06_F013,132.9575,134.49,sad,2.0,2.0,2.0
Ses01F_impro06_F014,135.96,137.95,sad,3.0,3.0,2.5
Ses01F_impro06_F015,138.0685,141.05,sad,2.0,2.0,2.5
Ses01F_impro06_F016,141.84,149.4375,neu,4.0,3.0,3.5
Ses01F_impro06_F017,158.08,163.35,xxx,4.0,3.0,3.5
Ses01F_impro06_F018,167.64,174.84,neu,4.0,3.0,3.5
Ses01F_impro06_F019,176.35,178.01,neu,2.5,2.0,2.5
Ses01F_impro06_F020,182.56,197.73,sad,2.5,3.0,4.0
Ses01F_impro06_F021,197.755,214.34,sad,2.0,3.0,4.0
Ses01F_impro06_F022,217.5,222.41,sad,4.0,3.0,3.5
Ses01F_impro06_F023,223.52,227.55,sad,2.5,2.0,2.5
Ses01F_impro06_F024,229.08,235.98,sad,1.5,2.0,3.0
Ses01F_impro06_F025,237.53,256.48,sad,3.0,3.5,4.5
Ses01F_impro06_F026,266.55,275.31,sad,3.0,3.0,3.5
Ses01F_impro06_F027,275.38,281.6,neu,2.0,2.0,3.5
Ses01F_impro06_F028,282.01,311.14,sad,3.0,3.5,4.0
Ses01F_impro06_M000,11.46,14.74,sad,2.5,2.0,3.0
Ses01F_impro06_M001,18.49,24.91,neu,2.5,3.0,3.5
Ses01F_impro06_M002,25.12,26.56,neu,2.5,2.0,3.0
Ses01F_impro06_M003,28.97,35.02,sad,2.5,2.0,3.5
Ses01F_impro06_M004,56.17,57.49,neu,3.0,3.0,2.5
Ses01F_impro06_M005,86.96,88.63,neu,3.0,2.0,2.5
Ses01F_impro06_M006,107.78,109.27,neu,3.0,2.0,2.5
Ses01F_impro06_M007,125.47,127.19,sad,3.0,2.0,2.5
Ses01F_impro06_M008,134.4,136.49,neu,3.0,2.5,2.5
Ses01F_impro06_M009,137.09,138.44,neu,3.0,2.5,2.5
Ses01F_impro06_M010,144.09,145.68,neu,3.0,2.5,3.0
Ses01F_impro06_M011,155.07,158.38,neu,3.0,2.0,3.0
Ses01F_impro06_M012,165.61,168.1,neu,2.5,2.5,2.5
Ses01F_impro06_M013,174.39,177.15,neu,3.0,2.5,2.5
Ses01F_impro06_M014,219.73,221.03,neu,3.0,2.5,2.0
Ses01F_impro06_M015,255.35,257.31,neu,3.0,3.0,2.5
Ses01F_impro06_M016,262.99,266.175,neu,3.0,2.5,2.5
Ses01F_impro06_M017,308.24,310.01,xxx,4.0,3.0,2.5
Ses01F_impro07_F000,3.95,10.59,exc,5.0,5.0,4.5
Ses01F_impro07_F001,11.36,16.5575,xxx,4.0,4.5,3.5
Ses01F_impro07_F002,19.61,31.65,exc,4.0,4.0,3.0
Ses01F_impro07_F003,32.52,34.9,exc,4.5,4.5,4.5
Ses01F_impro07_F004,37.1625,42.49,exc,3.0,3.5,3.0
Ses01F_impro07_F005,42.955,45.885,exc,5.0,4.5,4.5
Ses01F_impro07_F006,46.28,55.41,xxx,4.5,4.0,3.5
Ses01F_impro07_F007,63.02,72.75,xxx,4.0,4.0,3.5
Ses01F_impro07_F008,73.505,80.78,xxx,4.0,3.0,3.0
Ses01F_impro07_F009,81.0275,83.305,exc,4.0,3.0,2.5
Ses01F_impro07_F010,84.51,88.31,exc,5.0,4.5,4.0
Ses01F_impro07_F011,89.56,94.815,xxx,4.0,3.5,3.0
Ses01F_impro07_F012,94.86,100.74,exc,4.5,4.0,3.5
Ses01F_impro07_F013,103.26,110.46,exc,4.5,4.0,4.0
Ses01F_impro07_F014,115.68,126.41,xxx,4.0,3.5,3.5
Ses01F_impro07_F015,127.43,130.3175,xxx,4.5,4.0,3.0
Ses01F_impro07_F016,133.3125,142.3625,exc,4.5,3.5,3.0
Ses01F_impro07_M000,2.97,4.78,exc,3.5,3.0,2.0
Ses01F_impro07_M001,7.5325,11.96,exc,4.5,4.5,4.0
Ses01F_impro07_M002,13.92,19.09,exc,4.5,4.0,4.0
Ses01F_impro07_M003,20.68,28.06,exc,4.5,3.5,2.5
Ses01F_impro07_M004,30.915,38.81,exc,4.0,4.0,3.0
Ses01F_impro07_M005,41.17,46.9975,exc,4.5,4.5,3.5
Ses01F_impro07_M006,47.11,52.8125,exc,4.5,4.5,3.5
Ses01F_impro07_M007,54.16,63.28,exc,4.5,4.5,4.5
Ses01F_impro07_M008,64.6275,67.24,exc,4.0,3.0,3.0
Ses01F_impro07_M009,67.725,74.0325,exc,3.5,4.0,3.5
Ses01F_impro07_M010,76.62,78.17,xxx,3.5,3.5,2.5
Ses01F_impro07_M011,78.84,81.36,xxx,3.0,2.5,2.5
Ses01F_impro07_M012,82.6575,87.1025,neu,3.0,2.5,3.0
Ses01F_impro07_M013,87.5875,90.65,neu,4.0,2.5,2.5
Ses01F_impro07_M014,94.29,99.37,exc,4.0,4.5,3.0
Ses01F_impro07_M015,99.9875,110.54,exc,4.5,4.0,3.5
Ses01F_impro07_M016,110.54,116.28,xxx,4.5,4.0,3.0
Ses01F_impro07_M017,116.28,119.8507,exc,4.0,3.5,2.5
Ses01F_impro07_M018,123.2575,128.04,neu,4.0,3.0,3.0
Ses01F_impro07_M019,128.54,141.685,hap,4.5,4.0,3.0
Ses01F_script01_1_F000,6.21,9.32,fru,2.0,2.3333,2.3333
Ses01F_script01_1_F001,9.35,12.8955,xxx,2.0,2.3333,1.6667
Ses01F_script01_1_F002,14.3063,19.5526,sur,2.3333,2.3333,2.6667
Ses01F_script01_1_F003,22.32,24.6667,xxx,3.0,3.0,2.6667
Ses01F_script01_1_F004,35.3799,39.09,xxx,2.0,2.0,2.0
Ses01F_script01_1_F005,40.02,44.9688,neu,2.0,1.6667,2.0
Ses01F_script01_1_F006,46.95,52.32,xxx,1.6667,2.3333,3.3333
Ses01F_script01_1_F007,58.95,60.88,xxx,2.6667,3.6667,3.6667
Ses01F_script01_1_F008,67.6,70.67,xxx,2.0,2.3333,2.6667
Ses01F_script01_1_F009,78.3648,81.5611,fru,2.6667,2.6667,3.6667
Ses01F_script01_1_F010,100.14,102.3482,fru,2.6667,2.6667,3.0
Ses01F_script01_1_F011,104.29,108.7408,fru,2.3333,3.3333,3.6667
Ses01F_script01_1_F012,117.8228,129.51,fru,2.3333,3.0,4.0
Ses01F_script01_1_F013,134.01,141.95,xxx,2.3333,4.3333,3.6667
Ses01F_script01_1_F014,150.27,152.6736,fru,2.6667,1.6667,2.3333
Ses01F_script01_1_F015,156.1786,160.67,neu,3.0,2.3333,3.0
Ses01F_script01_1_F016,165.6573,169.559,xxx,2.6667,2.6667,3.0
Ses01F_script01_1_F017,171.63,175.49,xxx,2.0,3.0,3.6667
Ses01F_script01_1_F018,176.96,179.75,xxx,2.6667,2.6667,2.3333
Ses01F_script01_1_F019,183.98,186.05,xxx,3.0,2.6667,2.3333
Ses01F_script01_1_F020,194.06,198.91,xxx,2.3333,4.0,4.3333
Ses01F_script01_1_F021,205.16,215.17,fru,2.3333,4.0,4.0
Ses01F_script01_1_F022,219.04,223.82,fru,2.3333,3.3333,2.3333
Ses01F_script01_1_F023,235.2,238.56,fru,3.3333,2.6667,2.3333
Ses01F_script01_1_F024,241.3769,245.1904,fru,2.6667,2.6667,2.6667
Ses01F_script01_1_F025,246.8,251.4508,fru,2.6667,3.3333,3.6667
Ses01F_script01_1_F026,266.83,270.73,fru,2.6667,2.6667,3.0
Ses01F_script01_1_F027,274.1997,277.21,fru,2.3333,2.3333,2.3333
Ses01F_script01_1_F028,278.15,282.59,fru,2.3333,2.0,2.3333
Ses01F_script01_1_F029,282.73,286.92,fru,2.3333,3.6667,3.6667
Ses01F_script01_1_F030,299.31,302.195,fru,2.6667,2.0,1.6667
Ses01F_script01_1_F031,304.23,308.98,fru,2.3333,2.3333,1.6667
Ses01F_script01_1_F032,309.04,312.7098,fru,2.0,2.0,2.6667
